CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000005207522AC;23/08/2023;1;0,212;R
ES0021000005207522AC;23/08/2023;2;0,165;R
ES0021000005207522AC;23/08/2023;3;0,123;R
ES0021000005207522AC;23/08/2023;4;0,115;R
ES0021000005207522AC;23/08/2023;5;0,116;R
ES0021000005207522AC;23/08/2023;6;0,116;R
ES0021000005207522AC;23/08/2023;7;0,114;R
ES0021000005207522AC;23/08/2023;8;0,239;R
ES0021000005207522AC;23/08/2023;9;0,553;R
ES0021000005207522AC;23/08/2023;10;0,263;R
ES0021000005207522AC;23/08/2023;11;0,251;R
ES0021000005207522AC;23/08/2023;12;0,279;R
ES0021000005207522AC;23/08/2023;13;0,251;R
ES0021000005207522AC;23/08/2023;14;0,238;R
ES0021000005207522AC;23/08/2023;15;0,231;R
ES0021000005207522AC;23/08/2023;16;0,290;R
ES0021000005207522AC;23/08/2023;17;0,853;R
ES0021000005207522AC;23/08/2023;18;0,468;R
ES0021000005207522AC;23/08/2023;19;0,394;R
ES0021000005207522AC;23/08/2023;20;0,162;R
ES0021000005207522AC;23/08/2023;21;0,191;R
ES0021000005207522AC;23/08/2023;22;0,241;R
ES0021000005207522AC;23/08/2023;23;0,242;R
ES0021000005207522AC;23/08/2023;24;0,262;R
ES0021000005207522AC;24/08/2023;1;0,394;R
ES0021000005207522AC;24/08/2023;2;0,136;R
ES0021000005207522AC;24/08/2023;3;0,117;R
ES0021000005207522AC;24/08/2023;4;0,114;R
ES0021000005207522AC;24/08/2023;5;0,114;R
ES0021000005207522AC;24/08/2023;6;0,115;R
ES0021000005207522AC;24/08/2023;7;0,113;R
ES0021000005207522AC;24/08/2023;8;0,141;R
ES0021000005207522AC;24/08/2023;9;0,205;R
ES0021000005207522AC;24/08/2023;10;0,283;R
ES0021000005207522AC;24/08/2023;11;0,205;R
ES0021000005207522AC;24/08/2023;12;0,222;R
ES0021000005207522AC;24/08/2023;13;0,227;R
ES0021000005207522AC;24/08/2023;14;0,755;R
ES0021000005207522AC;24/08/2023;15;0,191;R
ES0021000005207522AC;24/08/2023;16;0,622;R
ES0021000005207522AC;24/08/2023;17;0,568;R
ES0021000005207522AC;24/08/2023;18;0,191;R
ES0021000005207522AC;24/08/2023;19;0,156;R
ES0021000005207522AC;24/08/2023;20;0,212;R
ES0021000005207522AC;24/08/2023;21;0,240;R
ES0021000005207522AC;24/08/2023;22;0,422;R
ES0021000005207522AC;24/08/2023;23;0,185;R
ES0021000005207522AC;24/08/2023;24;0,227;R
ES0021000005207522AC;25/08/2023;1;0,176;R
ES0021000005207522AC;25/08/2023;2;0,137;R
ES0021000005207522AC;25/08/2023;3;0,117;R
ES0021000005207522AC;25/08/2023;4;0,115;R
ES0021000005207522AC;25/08/2023;5;0,135;R
ES0021000005207522AC;25/08/2023;6;0,123;R
ES0021000005207522AC;25/08/2023;7;0,113;R
ES0021000005207522AC;25/08/2023;8;0,113;R
ES0021000005207522AC;25/08/2023;9;0,154;R
ES0021000005207522AC;25/08/2023;10;0,286;R
ES0021000005207522AC;25/08/2023;11;0,145;R
ES0021000005207522AC;25/08/2023;12;0,228;R
ES0021000005207522AC;25/08/2023;13;0,230;R
